SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat,YEAR
146296961,2015-09-19,DISCON: REFUSE LAWFUL ORDER,240.20-6,Penal Law,DISORDERLY CONDUCT,18-24,M,,0,BRONX,44,1007268.0,240281.0,40.82616961,-73.91683071,POINT (-73.91683070899995 40.82616961200006),2015
189569937,2018-11-03,NON PAYMENT OF FARE (OTHER),1050.4(A),,,25-44,M,WHITE HISPANIC,1,BRONX,46,1011698.0,251174.0,40.85605505,-73.90077926,POINT (-73.90077926 40.85605505),2018
158197016,2016-10-26,OTHER VTL,9999,VTL,VTL,45-64,M,BLACK,0,MANHATTAN,32,1001374.0,239100.0,40.8229415,-73.93813046,POINT (-73.93813045499998 40.82294149500007),2016
166898158,2017-07-08,PARK REGULATIONS,4-Jan,Park Regs,PARK REGS,45-64,M,BLACK,0,BRONX,44,1009713.0,244297.0,40.83718567,-73.90798098,POINT (-73.90798097499999 40.83718566500005),2017
164073044,2017-04-19,DISORDERLY CONDUCT,240.2,Penal Law,DISORDERLY CONDUCT,25-44,M,,1,MANHATTAN,18,988353.0,217918.0,40.76481827,-73.98518977,POINT (-73.98518977299993 40.764818269000045),2017
192807323,2019-01-27,SALE OF ALCOHOL TO A MINOR,100-1,ABC,ABC,25-44,M,BLACK,0,NEW YORK,9,988167.0,202387.0,40.72218963,-73.98587027,POINT (-73.98587026799999 40.72218963100005),2019
161649692,2017-02-05,DISCON: REFUSE LAWFUL ORDER,240.20-6,Penal Law,DISORDERLY CONDUCT,25-44,M,BLACK,0,BROOKLYN,73,1009905.0,180751.0,40.6627675,-73.90752953,POINT (-73.90752952599996 40.662767503000055),2017
279051293,2023-12-12,NON PAYMENT OF FARE (BUS),1050.4,(null),(null),25-44,F,BLACK HISPANIC,0,BRONX,41,1011485.0,237929.0,40.81969376,-73.90160159,POINT (-73.90160159492376 40.819693764479865),2023
150128304,2016-02-04,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,BROOKLYN,79,997290.0,186557.0,40.67873124,-73.9529883,POINT (-73.95298829699995 40.67873123800007),2016
312704026,2025-09-10,NO CIGARETTE LICENSE,11-1303,(null),(null),(null),(null),WHITE HISPANIC,0,NEW YORK,14,987403.0,215746.0,40.758857,-73.988618,POINT (-73.988618 40.758857),2025
204325162,2019-10-28,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BRONX,52,1014981.0,254350.0,40.86476139,-73.88889694,POINT (-73.88889694299996 40.86476139300004),2019
141412021,2015-03-14,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,45-64,M,UNKNOWN,0,QUEENS,115,1015328.0,211923.0,40.74830986,-73.8878388,POINT (-73.88783880399995 40.74830986300003),2015
309179363,2025-07-06,UNLICENSED OPERATOR,509,VTL,VTL,(null),(null),BLACK,0,BRONX,44,1006490.0,244533.0,40.83784212,-73.91962775,POINT (-73.9196277517392 40.8378421209284),2025
213872913,2020-06-02,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK HISPANIC,0,BRONX,41,1014927.0,237541.0,40.81862581,-73.88916906,POINT (-73.88916906 40.81862581),2020
153726418,2016-06-04,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,25-44,M,BLACK,0,BROOKLYN,76,982515.0,185439.0,40.67567201,-74.00625636,POINT (-74.00625635799997 40.675672013000046),2016
